StartDate,EndDate,Status,Progress,Duration_inSeconds_,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q1_4_TEXT,Q5,Q9_1,Q8,Q10,Q11,Q11_6_TEXT,Q12,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q18,Q19,Q20_1,Q20_2,Q20_3,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q21_17,Q21_18,Q21_19,Q21_20,Q21_21,Q21_22,Q21_23,Q21_24,Q21_25,Q21_26,Q21_27,Q21_28,Q21_29,Q21_30,Q21_31,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,id,clinical,actEng,perAbi,musTra,sinAbi,emo,gen,probeACC,totalBias,resConsis_subj,resConsis_cdf,percResp_1,percResp_2,percResp_3,percResp_4,percResp_5,percResp_6,percResp_7,percResp_8,percResp_9,percResp_10
21-Apr-2021 21:52:48,21-Apr-2021 21:57:55,0,100,307,1,21-Apr-2021 21:57:56,R_2CTvJxZCrrtufLr,anonymous,EN,1,,21,5,"How fast the sound is",1,1,,2,Chinese,English,Thai,81,81,42,6,13,50,90,20,4,4,1,1,6,5,2,4,4,3,5,2,4,4,5,3,4,5,3,5,5,5,3,3,6,4,7,6,5,4,5,1,1,1,1,1,1,2,"piano",40498,0,29,39,10,21,24,48,1,0.203333333333333,0.593333333333333,0.0202707569202269,1.06666666666667,1.2,1.26666666666667,1.2,1.13333333333333,1.26666666666667,1.23333333333333,1.2,1.2,1.26666666666667
22-Apr-2021 14:17:11,22-Apr-2021 14:23:24,0,100,372,1,22-Apr-2021 14:23:24,R_3NDRsDR4J2G35Rb,anonymous,EN,1,,21,1,"I listened for in-time rhythms and longer lengths of sounds to categorize as music. Sounds that didn't have steady rhythm or had changes in tone and spaces in sound that resembled inflections in talking voices were categorized as speech.",1,4,,2,English,,,100,NaN,,NaN,,100,NaN,,7,7,6,5,6,6,7,6,1,7,2,5,1,1,7,7,2,6,5,7,1,6,1,7,4,6,1,7,7,5,7,7,6,1,3,1,1,6,"voice",39196,0,54,55,32,41,40,108,1,0.486666666666667,0.693333333333333,0.999999446975407,1.1,1.13333333333333,1.2,1.5,1.36666666666667,1.66666666666667,1.7,1.83333333333333,1.73333333333333,1.63333333333333
22-Apr-2021 16:48:40,22-Apr-2021 16:52:05,0,100,204,1,22-Apr-2021 16:52:05,R_2CZWwDNBdvinrZk,anonymous,EN,2,,19,3,"",1,2,,3,Chinese,Enlish,,100,91,,10,,100,81,,2,5,2,3,5,7,4,5,4,4,6,5,4,4,3,5,4,6,5,4,6,5,4,1,6,5,5,5,3,4,3,1,1,1,1,1,1,4,"",40658,0,25,43,12,24,26,52,1,0.553333333333333,0.693333333333333,0.999998945634487,1.56666666666667,1.8,1.86666666666667,1.86666666666667,1.83333333333333,1.56666666666667,1.5,1.23333333333333,1.23333333333333,1.06666666666667
22-Apr-2021 17:05:48,22-Apr-2021 17:11:20,0,100,331,1,22-Apr-2021 17:11:21,R_3h9NNPaRLUxJmJS,anonymous,EN,2,,20,4,"I figured if it was too smooth (like crashing waves) or too rhythmic, then it must be music. And if it was more inconsistent, like the muffled sound coming from a walkie-talkie, then I went with speech.",1,1,,1,English,Hebrew,,100,70,,5,,97,3,,7,3,7,7,7,5,6,5,2,5,3,5,2,2,7,6,4,6,6,7,4,6,2,7,5,6,1,7,6,5,7,7,5,1,3,7,2,3,"Piano",37375,0,48,52,37,36,35,103,1,0.456666666666667,0.606666666666667,0.995502072111202,1,1.13333333333333,1.23333333333333,1.36666666666667,1.53333333333333,1.6,1.6,1.73333333333333,1.7,1.66666666666667
22-Apr-2021 17:26:51,22-Apr-2021 17:31:40,0,100,288,1,22-Apr-2021 17:31:40,R_vYSDscmx5n6HchX,anonymous,EN,1,,20,5,"The frequency and patterns of breaks in the noise",1,4,,1,English,Spanish,,100,35,,13,,100,0,,5,6,1,5,5,5,5,6,2,2,3,5,3,3,5,7,5,3,3,6,3,5,5,7,7,6,7,7,7,3,7,2,3,3,3,3,1,6,"voice",39162,0,45,42,18,26,35,64,1,0.53,0.633333333333333,0.999555147857841,1.03333333333333,1.23333333333333,1.43333333333333,1.63333333333333,1.83333333333333,1.7,1.73333333333333,1.76666666666667,1.53333333333333,1.4
22-Apr-2021 17:27:13,22-Apr-2021 17:33:26,0,100,372,1,22-Apr-2021 17:33:26,R_3fPIY9it1F7fso8,anonymous,EN,2,,21,4,"if i heard any sort of rhythm, i leaned towards music
if i heard choppy randomness, i leaned towards speech",1,4,,1,english,,,100,NaN,,NaN,,100,NaN,,7,6,4,5,6,6,7,7,1,7,1,7,1,1,7,7,1,1,7,7,1,7,1,7,3,7,1,7,7,6,7,7,6,2,7,7,6,6,"drums",40550,0,54,55,47,44,41,117,1,0.483333333333333,0.553333333333333,0.915455925616743,1.4,1.43333333333333,1.36666666666667,1.33333333333333,1.43333333333333,1.46666666666667,1.46666666666667,1.53333333333333,1.73333333333333,1.66666666666667
22-Apr-2021 18:41:43,22-Apr-2021 18:46:16,0,100,273,1,22-Apr-2021 18:46:17,R_24jYYiL3n7oXizD,anonymous,EN,2,,19,4,"how choppy or consistent the sound was",1,1,,2,english,mandarin,,100,80,,6,,95,4,,5,3,2,4,6,6,6,3,3,5,4,5,3,3,5,3,5,6,2,4,4,5,3,4,6,5,3,5,3,1,6,2,5,1,1,5,2,2,"guitar",41005,0,31,47,25,24,23,70,1,0.503333333333333,0.606666666666667,0.996568577973543,1.06666666666667,1.16666666666667,1.33333333333333,1.7,1.5,1.63333333333333,1.66666666666667,1.8,1.7,1.46666666666667
22-Apr-2021 19:13:49,22-Apr-2021 19:18:07,0,100,257,1,22-Apr-2021 19:18:07,R_3IaRNJeVjnXskBo,anonymous,EN,2,,20,5,"Hearing the different patterns. More smooth sounds made me think it was more related to music than speech.",1,1,,2,English,,,100,NaN,,NaN,,100,NaN,,3,5,2,1,4,5,2,4,5,2,4,5,6,5,5,6,3,5,3,4,5,3,6,2,5,5,7,5,1,1,6,5,2,1,1,5,2,3,"Guitar",41023,0,28,35,19,15,27,49,1,0.516666666666667,0.513333333333333,0.653367245544026,1.46666666666667,1.53333333333333,1.66666666666667,1.56666666666667,1.43333333333333,1.66666666666667,1.53333333333333,1.56666666666667,1.43333333333333,1.3
22-Apr-2021 19:12:03,22-Apr-2021 19:19:34,0,100,450,1,22-Apr-2021 19:19:34,R_6hhGqeSLdzhHKvv,anonymous,EN,2,,18,4,"speech would be more choppy",1,4,,2,english,chinese,spanish,100,66,34,5,13,88,12,,4,4,3,4,5,5,5,4,4,4,3,5,3,4,4,5,4,5,4,4,4,5,5,4,4,3,5,5,5,4,5,5,4,1,1,5,1,3,"piano",40868,0,32,41,23,30,26,70,1,0.57,0.846666666666667,1,1,1,1.13333333333333,1.3,1.73333333333333,1.86666666666667,1.86666666666667,1.93333333333333,1.96666666666667,1.9
22-Apr-2021 21:51:06,22-Apr-2021 21:54:41,0,100,214,1,22-Apr-2021 21:54:41,R_6mMZN2qUbDgclzz,anonymous,EN,2,,22,3,"",1,4,,2,chinese,english,,100,81,,6,,72,30,,5,4,3,3,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,3,5,1,3,"bamboo flute",40818,0,32,40,26,29,24,71,1,0.613333333333333,0.773333333333333,0.999999999897027,1,1.06666666666667,1.26666666666667,1.63333333333333,1.86666666666667,1.8,1.9,1.83333333333333,1.9,1.86666666666667
