StartDate,EndDate,Status,Progress,Duration_inSeconds_,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q1_4_TEXT,Q5,Q9_1,Q8,Q8_2,Q10,Q11,Q11_6_TEXT,Q12,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q18,Q19,Q20_1,Q20_2,Q20_3,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q21_17,Q21_18,Q21_19,Q21_20,Q21_21,Q21_22,Q21_23,Q21_24,Q21_25,Q21_26,Q21_27,Q21_28,Q21_29,Q21_30,Q21_31,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,id,clinical,actEng,perAbi,musTra,sinAbi,emo,gen,probeACC,totalBias,totalBiasM,totalBiasS,resConsis_subj,resConsis_cdf,percResp_Music_1,percResp_Music_2,percResp_Music_3,percResp_Music_4,percResp_Music_5,percResp_Speech_1,percResp_Speech_2,percResp_Speech_3,percResp_Speech_4,percResp_Speech_5
29-Sep-2021 14:58:24,29-Sep-2021 15:01:26,0,100,182,1,29-Sep-2021 15:01:27,R_2tsCw1mlcqWrpT1,anonymous,EN,1,,18,4,"i listened for rhythms","this was harder, i tried to listen for different inflections",1,1,,2,korean,english,,86,100,,1,,60,100,,6,7,6,5,7,6,7,6,1,2,1,7,1,1,7,7,2,7,7,7,4,7,5,6,7,7,1,6,7,5,7,7,7,5,5,6,4,7,"flute",41657,0,53,58,43,33,42,102,1,0.506666666666667,0.5,0.5,0.493333333333333,0.466613640322655,1.56666666666667,1.5,1.46666666666667,1.5,1.46666666666667,1.56666666666667,1.33333333333333,1.6,1.5,1.56666666666667
29-Sep-2021 17:45:45,29-Sep-2021 17:52:17,0,100,391,1,29-Sep-2021 17:52:17,R_1jdN4GYWlKjrZtn,anonymous,EN,1,,18,4,"pauses in between, change in pitch","changes in pitch (shouldn't be very monotone)",1,1,,2,mandarin,english,french,96,92,39,5,13,100,93,2,3,5,3,3,5,5,6,4,3,5,3,5,4,2,6,5,4,5,4,4,5,5,3,4,6,4,4,4,5,4,5,6,6,2,6,7,5,6,"piano",41470,0,35,43,40,29,28,82,1,0.533333333333333,0.526666666666667,0.526666666666667,0.546666666666667,0.879120977109155,1.6,1.63333333333333,1.43333333333333,1.4,1.56666666666667,1.43333333333333,1.6,1.6,1.5,1.56666666666667
29-Sep-2021 18:02:07,29-Sep-2021 18:04:03,0,100,115,1,29-Sep-2021 18:04:03,R_265R7RMi1g71Nix,anonymous,EN,1,,22,3,"","",1,1,,2,chinese,english,french,100,100,100,2,14,100,100,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,5,"",41561,0,37,36,23,28,24,69,1,0.48,0.473333333333333,0.473333333333333,0.506666666666667,0.589084982276736,1.46666666666667,1.4,1.4,1.6,1.5,1.66666666666667,1.46666666666667,1.3,1.6,1.4
29-Sep-2021 18:35:59,29-Sep-2021 18:52:01,0,100,962,1,29-Sep-2021 18:52:02,R_3oSLRVvGvHHzBME,anonymous,EN,1,,18,4,"I identified an excerpt as music if the pitch of the sound was constant throughout with few pauses in between.","I identified an excerpt as speech if the pitch of the sound kept going high and low.",1,1,,3,Nepali,English,Hindi,100,90,60,3,5,100,100,40,5,6,2,3,5,6,7,7,1,4,3,5,3,4,3,5,3,6,6,7,5,6,4,6,7,6,3,5,6,3,7,4,2,1,1,4,1,2,"Keyboard",42102,0,34,48,21,29,38,73,1,0.393333333333333,0.406666666666667,0.406666666666667,0.586666666666667,0.950793884771461,1.5,1.46666666666667,1.4,1.23333333333333,1.43333333333333,1.4,1.3,1.4,1.43333333333333,1.36666666666667
29-Sep-2021 20:19:34,29-Sep-2021 20:28:06,0,100,511,1,29-Sep-2021 20:28:06,R_0c9PU9mlcBnVLhf,anonymous,EN,2,,20,4,"The fluency of the noice","The gaps and the frequency of the noices",1,2,,2,Chinese,English,Spanish,100,90,50,5,15,55,40,5,5,3,2,5,7,6,6,2,2,6,3,6,2,4,6,7,5,5,5,6,2,7,3,6,7,4,6,5,5,5,7,4,3,4,3,4,2,4,"Guitar",41907,0,40,51,22,31,34,76,1,0.533333333333333,0.586666666666667,0.586666666666667,0.64,0.999748891109176,1.63333333333333,1.36666666666667,1.73333333333333,1.53333333333333,1.66666666666667,1.26666666666667,1.56666666666667,1.5,1.46666666666667,1.6
29-Sep-2021 21:40:38,29-Sep-2021 21:44:56,0,100,257,1,29-Sep-2021 21:44:56,R_3LcI0P2WxqEGh1m,anonymous,EN,1,,19,3,"More things that sounded like beats rather than sounds","Things like breath",1,1,,2,English,,,100,NaN,,NaN,,100,NaN,,7,7,5,2,3,6,5,3,2,3,4,2,3,7,7,7,5,7,6,7,2,6,7,7,4,5,6,7,7,5,7,1,1,1,1,1,1,7,"None",41513,0,50,39,8,29,40,65,1,0.603333333333333,0.586666666666667,0.586666666666667,0.46,0.0774897173482431,1.5,1.66666666666667,1.6,1.6,1.56666666666667,1.63333333333333,1.63333333333333,1.7,1.6,1.53333333333333
29-Sep-2021 22:16:55,29-Sep-2021 22:22:47,0,100,351,1,29-Sep-2021 22:22:47,R_yWOHiy77N5apcWZ,anonymous,EN,2,,19,4,"Rhythm","Pauses and inflection",1,1,,2,English,Spanish,,100,67,,1,,80,20,,5,5,5,3,5,6,2,6,1,4,4,7,4,6,7,7,4,5,5,7,1,5,4,6,4,6,7,7,5,3,7,3,3,3,1,5,2,6,"piano",41911,0,52,46,17,25,38,72,0.916666666666667,0.5,0.473333333333333,0.473333333333333,0.4,0.0087988459643929,1.46666666666667,1.36666666666667,1.56666666666667,1.43333333333333,1.53333333333333,1.53333333333333,1.43333333333333,1.56666666666667,1.63333333333333,1.46666666666667
29-Sep-2021 22:58:35,29-Sep-2021 23:01:41,0,100,185,1,29-Sep-2021 23:01:41,R_2upxy5TbzaqrKzo,anonymous,EN,1,,21,3,"The harmony of the melody.","The irregular pattern of the sound",1,1,,1,Bengali,English,,100,96,,16,,65,35,,2,3,2,3,2,3,5,4,3,4,3,5,5,4,4,4,4,2,4,5,7,2,4,4,3,4,4,4,4,6,5,2,1,1,1,1,1,1,"",41753,0,23,30,14,31,26,62,0.916666666666667,0.556666666666667,0.566666666666667,0.566666666666667,0.446666666666667,0.0834019188810513,1.66666666666667,1.46666666666667,1.56666666666667,1.5,1.63333333333333,1.53333333333333,1.43333333333333,1.53333333333333,1.6,1.63333333333333
29-Sep-2021 23:05:33,29-Sep-2021 23:11:13,0,100,340,1,29-Sep-2021 23:11:13,R_30qplNxrZSggrLv,anonymous,EN,1,,21,4,"sounds like","sounds like",1,2,,2,Chinese,English,,90,75,,5,,75,25,,5,6,4,6,3,3,7,4,2,5,3,5,2,6,6,6,6,5,5,6,3,5,2,4,5,4,5,5,5,5,7,5,3,1,1,5,1,2,"Voice",42033,0,36,42,20,33,36,77,1,0.51,0.493333333333333,0.493333333333333,0.593333333333333,0.991083906010828,1.66666666666667,1.3,1.53333333333333,1.5,1.46666666666667,1.5,1.46666666666667,1.5,1.63333333333333,1.53333333333333
30-Sep-2021 01:09:56,30-Sep-2021 01:15:02,0,100,306,1,30-Sep-2021 01:15:03,R_2zkYsSVP76Ooavc,anonymous,EN,1,,19,4,"","",1,2,,2,Chinese,English,,99,99,,9,,93,98,,5,4,4,5,5,5,5,5,5,3,4,5,3,3,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,1,1,5,3,4,"piano",41567,0,38,42,26,30,27,77,1,0.473333333333333,0.466666666666667,0.466666666666667,0.493333333333333,0.453628355512102,1.43333333333333,1.46666666666667,1.4,1.66666666666667,1.36666666666667,1.73333333333333,1.5,1.43333333333333,1.36666666666667,1.36666666666667
